"Date,crude_oil"
"1/21/2021,53.13"
"1/22/2021,52.27"
"1/25/2021,52.77"
"1/26/2021,52.61"
"1/27/2021,52.85"
"1/28/2021,52.34"
"1/29/2021,52.2"
"2/1/2021,53.55"
"2/2/2021,54.76"
"2/3/2021,55.69"
"2/4/2021,56.23"
"2/5/2021,56.85"
"2/8/2021,57.97"
"2/9/2021,58.36"
"2/10/2021,58.68"
"2/11/2021,58.24"
"2/12/2021,59.47"
"2/14/2021,60.37"
"2/15/2021,60.09"
"2/16/2021,60.05"
"2/17/2021,61.14"
"2/18/2021,60.52"
"2/19/2021,59.24"
"2/22/2021,61.49"
"2/23/2021,61.67"
"2/24/2021,63.22"
"2/25/2021,63.53"
"2/26/2021,61.5"
"3/1/2021,60.64"
"3/2/2021,59.75"
"3/3/2021,61.28"
"3/4/2021,63.83"
"3/5/2021,66.09"
"3/8/2021,65.05"
"3/9/2021,64.01"
"3/10/2021,64.44"
"3/11/2021,66.02"
"3/12/2021,65.61"
"3/15/2021,65.39"
"3/16/2021,64.8"
"3/17/2021,64.6"
"3/18/2021,60"
"3/19/2021,61.42"
"3/22/2021,61.55"
"3/23/2021,57.76"
"3/24/2021,61.18"
"3/25/2021,58.56"
"3/26/2021,60.97"
"3/29/2021,61.56"
"3/30/2021,60.55"
"3/31/2021,59.16"
"4/1/2021,61.45"
"4/5/2021,58.65"
"4/6/2021,59.33"
"4/7/2021,59.77"
"4/8/2021,59.6"
"4/9/2021,59.32"
"4/12/2021,59.7"
"4/13/2021,60.18"
"4/14/2021,63.15"
"4/15/2021,63.46"
"4/16/2021,63.13"
"4/19/2021,63.38"
"4/20/2021,62.44"
"4/21/2021,61.35"
"4/22/2021,61.43"
"4/23/2021,62.14"
"4/26/2021,61.91"
"4/27/2021,62.94"
"4/28/2021,63.86"
"4/29/2021,65.01"
"4/30/2021,63.58"
"5/3/2021,64.49"
"5/4/2021,65.69"
"5/5/2021,65.63"
"5/6/2021,64.71"
"5/7/2021,64.9"
"5/10/2021,64.92"
"5/11/2021,65.28"
"5/12/2021,66.08"
"5/13/2021,63.82"
"5/14/2021,65.37"
"5/17/2021,66.27"
"5/18/2021,65.49"
"5/19/2021,63.36"
"5/20/2021,62.05"
"5/21/2021,63.58"
"5/24/2021,66.05"
"5/25/2021,66.07"
"5/26/2021,66.21"
"5/27/2021,66.85"
"5/28/2021,66.32"
"5/30/2021,66.59"
"5/31/2021,66.96"
"6/1/2021,67.72"
"6/2/2021,68.83"
"6/3/2021,68.81"
"6/4/2021,69.62"
"6/7/2021,69.23"
"6/8/2021,70.05"
"6/9/2021,69.96"
"6/10/2021,70.29"
"6/11/2021,70.91"
"6/14/2021,70.88"
"6/15/2021,72.12"
"6/16/2021,72.15"
"6/17/2021,71.04"
"6/18/2021,71.64"
"6/21/2021,73.66"
"6/22/2021,73.06"
"6/23/2021,73.08"
"6/24/2021,73.3"
"6/25/2021,74.05"
"6/28/2021,72.91"
"6/29/2021,72.98"
"6/30/2021,73.47"
"7/1/2021,75.23"
"7/2/2021,75.16"
"7/4/2021,75.14"
"7/5/2021,76.25"
"7/6/2021,73.37"
"7/7/2021,72.2"
"7/8/2021,72.94"
"7/9/2021,74.56"
"7/12/2021,74.1"
"7/13/2021,75.25"
"7/14/2021,73.13"
"7/15/2021,71.65"
"7/16/2021,71.81"
"7/19/2021,66.42"
"7/20/2021,67.42"
"7/21/2021,70.3"
"7/22/2021,71.91"
"7/23/2021,72.07"
"7/26/2021,71.91"
"7/27/2021,71.65"
"7/28/2021,72.39"
"7/29/2021,73.62"
"7/30/2021,73.95"
"8/2/2021,71.26"
"8/3/2021,70.56"
"8/4/2021,68.15"
"8/5/2021,69.09"
"8/6/2021,68.28"
"8/9/2021,66.48"
"8/10/2021,68.29"
"8/11/2021,69.25"
"8/12/2021,69.09"
"8/13/2021,68.44"
"8/16/2021,67.29"
"8/17/2021,66.59"
"8/18/2021,65.46"
"8/19/2021,63.69"
"8/20/2021,62.32"
"8/23/2021,65.64"
"8/24/2021,67.54"
"8/25/2021,68.36"
"8/26/2021,67.42"
"8/27/2021,68.74"
"8/30/2021,69.21"
"8/31/2021,68.5"
"9/1/2021,68.59"
"9/2/2021,69.99"
"9/3/2021,69.29"
"9/5/2021,68.75"
"9/6/2021,68.8"
"9/7/2021,68.35"
"9/8/2021,69.3"
"9/9/2021,68.14"
"9/10/2021,69.72"
"9/13/2021,70.45"
"9/14/2021,70.46"
"9/15/2021,72.61"
"9/16/2021,72.61"
"9/17/2021,71.97"
"9/20/2021,70.29"
"9/21/2021,70.56"
"9/22/2021,72.23"
"9/23/2021,73.3"
"9/24/2021,73.98"
"9/27/2021,75.45"
"9/28/2021,75.29"
"9/29/2021,74.83"
"9/30/2021,75.03"
"10/1/2021,75.88"
"10/4/2021,77.62"
"10/5/2021,78.93"
"10/6/2021,77.43"
"10/7/2021,78.3"
"10/8/2021,79.35"
"10/11/2021,80.52"
"10/12/2021,80.64"
"10/13/2021,80.44"
"10/14/2021,81.31"
"10/15/2021,82.28"
"10/18/2021,82.44"
"10/19/2021,82.96"
"10/20/2021,83.87"
"10/21/2021,82.5"
"10/22/2021,83.76"
"10/25/2021,83.76"
"10/26/2021,84.65"
"10/27/2021,82.66"
"10/28/2021,82.81"
"10/29/2021,83.57"
"11/1/2021,84.05"
"11/2/2021,83.91"
"11/3/2021,80.86"
"11/4/2021,78.81"
"11/5/2021,81.27"
"11/8/2021,81.93"
"11/9/2021,84.15"
"11/10/2021,81.34"
"11/11/2021,81.59"
"11/12/2021,80.79"
"11/15/2021,80.88"
"11/16/2021,80.76"
"11/17/2021,78.36"
"11/18/2021,79.01"
"11/19/2021,76.1"
"11/22/2021,76.75"
"11/23/2021,78.5"
"11/24/2021,78.39"
"11/25/2021,77.41"
"11/26/2021,68.15"
"11/29/2021,69.95"
"11/30/2021,66.18"
"12/1/2021,65.57"
"12/2/2021,66.5"
"12/3/2021,66.26"
"12/6/2021,69.49"
"12/7/2021,72.05"
"12/8/2021,72.36"
"12/9/2021,70.94"
"12/10/2021,71.67"
"12/13/2021,71.29"
"12/14/2021,70.73"
"12/15/2021,70.87"
"12/16/2021,72.38"
"12/17/2021,70.86"
"12/20/2021,68.23"
"12/21/2021,71.12"
"12/22/2021,72.76"
"12/23/2021,73.79"
"12/27/2021,75.57"
"12/28/2021,75.98"
"12/29/2021,76.56"
"12/30/2021,76.99"
"12/31/2021,75.21"
"1/3/2022,76.08"
"1/4/2022,76.99"
"1/5/2022,77.85"
"1/6/2022,79.46"
"1/7/2022,78.9"
"1/10/2022,78.23"
"1/11/2022,81.22"
"1/12/2022,82.64"
"1/13/2022,82.12"
"1/14/2022,83.82"
"1/16/2022,83.83"
"1/17/2022,83.69"
"1/18/2022,85.43"
"1/19/2022,86.96"
"1/20/2022,86.9"
"1/21/2022,85.14"
"1/24/2022,83.31"
"1/25/2022,85.6"
"1/26/2022,87.35"
"1/27/2022,86.61"
"1/28/2022,86.82"
"1/31/2022,88.15"
"2/1/2022,88.2"
"2/2/2022,88.26"
"2/3/2022,90.27"
"2/4/2022,92.31"
"2/7/2022,91.32"
"2/8/2022,89.36"
"2/9/2022,89.66"
"2/10/2022,89.88"
"2/11/2022,93.1"
"2/14/2022,95.46"
"2/15/2022,92.07"
"2/16/2022,93.66"
"2/17/2022,91.76"
"2/18/2022,91.07"
"2/20/2022,91.62"
"2/21/2022,92.65"
"2/22/2022,92.35"
"2/23/2022,92.1"
"2/24/2022,92.81"
"2/25/2022,91.59"
"2/28/2022,95.72"
"3/1/2022,103.41"
"3/2/2022,110.6"
"3/3/2022,107.67"
"3/4/2022,115.68"
"3/7/2022,119.4"
"3/8/2022,123.7"
"3/9/2022,108.7"
"3/10/2022,106.02"
"3/11/2022,109.33"
"3/14/2022,103.01"
"3/15/2022,96.44"
"3/16/2022,95.04"
"3/17/2022,102.98"
"3/18/2022,104.7"
"3/21/2022,112.12"
"3/22/2022,111.76"
"3/23/2022,114.93"
"3/24/2022,112.34"
"3/25/2022,113.9"
"3/28/2022,105.96"
"3/29/2022,104.24"
"3/30/2022,107.82"
"3/31/2022,100.28"
"4/1/2022,99.27"
"4/4/2022,103.28"
"4/5/2022,101.96"
"4/6/2022,96.23"
"4/7/2022,96.03"
"4/8/2022,98.26"
"4/11/2022,94.29"
"4/12/2022,100.6"
"4/13/2022,104.25"
"4/14/2022,106.95"
"4/18/2022,108.21"
"4/19/2022,102.56"
"4/20/2022,102.75"
"4/21/2022,103.79"
"4/22/2022,102.07"
"4/25/2022,98.54"
"4/26/2022,101.7"
"4/27/2022,102.02"
"4/28/2022,105.36"
"4/29/2022,104.69"
"5/2/2022,105.17"
"5/3/2022,102.41"
"5/4/2022,107.81"
"5/5/2022,108.26"
"5/6/2022,109.77"
"5/9/2022,103.09"
"5/10/2022,99.76"
"5/11/2022,105.71"
"5/12/2022,106.13"
"5/13/2022,110.49"
"5/16/2022,114.2"
"5/17/2022,112.4"
"5/18/2022,109.59"
"5/19/2022,112.21"
"5/20/2022,113.23"
"5/23/2022,110.29"
"5/24/2022,109.77"
"5/25/2022,110.33"
"5/26/2022,114.09"
"5/27/2022,115.07"
"5/29/2022,115.61"
"5/30/2022,117.61"
"5/31/2022,114.67"
"6/1/2022,115.26"
"6/2/2022,116.87"
"6/3/2022,118.87"
"6/6/2022,118.5"
"6/7/2022,119.41"
"6/8/2022,122.11"
"6/9/2022,121.51"
"6/10/2022,120.67"
"6/13/2022,120.93"
"6/14/2022,118.93"
"6/15/2022,115.31"
"6/16/2022,117.59"
"6/17/2022,109.56"
"6/19/2022,108.94"
"6/20/2022,108.84"
"6/21/2022,110.65"
"6/22/2022,106.19"
"6/23/2022,104.27"
"6/24/2022,107.62"
"6/27/2022,109.57"
"6/28/2022,111.76"
"6/29/2022,109.78"
"6/30/2022,105.76"
"7/1/2022,108.43"
"7/3/2022,108.19"
"7/4/2022,110.4"
"7/5/2022,99.5"
"7/6/2022,98.53"
"7/7/2022,102.73"
"7/8/2022,104.79"
"7/11/2022,104.09"
"7/12/2022,95.84"
"7/13/2022,96.3"
"7/14/2022,95.78"
"7/15/2022,97.59"
"7/18/2022,102.6"
"7/19/2022,104.22"
"7/20/2022,102.26"
"7/21/2022,96.35"
"7/22/2022,94.7"
"7/25/2022,96.7"
"7/26/2022,94.98"
"7/27/2022,97.26"
"7/28/2022,96.42"
"7/29/2022,98.62"
"8/1/2022,93.89"
"8/2/2022,94.42"
"8/3/2022,90.66"
"8/4/2022,88.54"
"8/5/2022,89.01"
"8/8/2022,90.76"
"8/9/2022,90.5"
"8/10/2022,91.93"
"8/11/2022,94.34"
"8/12/2022,92.09"
"8/15/2022,89.41"
"8/16/2022,86.53"
"8/17/2022,88.11"
"8/18/2022,90.5"
"8/19/2022,90.77"
"8/22/2022,90.23"
"8/23/2022,93.74"
"8/24/2022,94.89"
"8/25/2022,92.52"
"8/26/2022,93.06"
"8/29/2022,97.01"
"8/30/2022,91.64"
"8/31/2022,89.55"
"9/1/2022,86.61"
"9/2/2022,86.87"
"9/4/2022,88.25"
"9/5/2022,88.96"
"9/6/2022,86.88"
"9/7/2022,81.94"
"9/8/2022,83.54"
"9/9/2022,86.79"
"9/12/2022,87.78"
"9/13/2022,87.31"
"9/14/2022,88.48"
"9/15/2022,85.1"
"9/16/2022,85.11"
"9/19/2022,85.73"
"9/20/2022,84.45"
"9/21/2022,82.94"
"9/22/2022,83.49"
"9/23/2022,78.74"
"9/26/2022,76.71"
"9/27/2022,78.5"
"9/28/2022,82.15"
"9/29/2022,81.23"
"9/30/2022,79.49"
"10/3/2022,83.63"
"10/4/2022,86.52"
"10/5/2022,87.76"
"10/6/2022,88.45"
"10/7/2022,92.64"
"10/10/2022,91.13"
"10/11/2022,89.35"
"10/12/2022,87.27"
"10/13/2022,89.11"
"10/14/2022,85.61"
"10/17/2022,85.46"
"10/18/2022,82.82"
"10/19/2022,85.55"
"10/20/2022,85.98"
"10/21/2022,85.05"
"10/24/2022,84.58"
"10/25/2022,85.32"
"10/26/2022,87.91"
"10/27/2022,89.08"
"10/28/2022,87.9"
"10/31/2022,86.53"
"11/1/2022,88.37"
"11/2/2022,90"
"11/3/2022,88.17"
"11/4/2022,92.61"
"11/7/2022,91.79"
"11/8/2022,88.91"
"11/9/2022,85.83"
"11/10/2022,86.47"
"11/11/2022,88.96"
"11/14/2022,85.87"
"11/15/2022,86.92"
"11/16/2022,85.59"
"11/17/2022,81.64"
"11/18/2022,80.08"
"11/21/2022,79.73"
"11/22/2022,80.95"
"11/23/2022,77.94"
"11/24/2022,77.95"
"11/25/2022,76.28"
"11/28/2022,77.24"
"11/29/2022,78.2"
"11/30/2022,80.55"
"12/1/2022,81.22"
"12/2/2022,79.98"
"12/5/2022,76.93"
"12/6/2022,74.25"
"12/7/2022,72.01"
"12/8/2022,71.46"
"12/9/2022,71.02"
"12/12/2022,73.17"
"12/13/2022,75.39"
"12/14/2022,77.28"
"12/15/2022,76.11"
"12/16/2022,74.29"
"12/19/2022,75.19"
"12/20/2022,76.09"
"12/21/2022,78.29"
"12/22/2022,77.49"
"12/23/2022,79.56"
"12/26/2022,80.97"
"12/27/2022,79.53"
"12/28/2022,78.96"
"12/29/2022,78.4"
"12/30/2022,80.26"
"1/2/2023,80.47"
"1/3/2023,76.93"
"1/4/2023,72.84"
"1/5/2023,73.67"
"1/6/2023,73.77"
"1/9/2023,74.63"
"1/10/2023,75.12"
"1/11/2023,77.41"
"1/12/2023,78.39"
"1/13/2023,79.86"
"1/15/2023,79.78"
"1/16/2023,79.04"
"1/17/2023,80.18"
"1/18/2023,79.48"
"1/19/2023,80.33"
"1/20/2023,81.31"
"1/23/2023,81.62"
"1/24/2023,80.13"
"1/25/2023,80.15"
"1/26/2023,81.01"
"1/27/2023,79.68"
"1/30/2023,77.9"
"1/31/2023,78.87"
"2/1/2023,76.41"
"2/2/2023,75.88"
"2/3/2023,73.39"
"2/6/2023,74.11"
"2/7/2023,77.14"
"2/8/2023,78.47"
"2/9/2023,78.06"
"2/10/2023,79.72"
"2/13/2023,80.14"
"2/14/2023,79.06"
"2/15/2023,78.59"
"2/16/2023,78.49"
"2/17/2023,76.34"
"2/19/2023,76.67"
"2/20/2023,77.3"
"2/21/2023,76.16"
"2/22/2023,73.95"
"2/23/2023,75.39"
"2/24/2023,76.32"
"2/27/2023,75.68"
"2/28/2023,77.05"
"3/1/2023,77.69"
"3/2/2023,78.16"
"3/3/2023,79.68"
"3/6/2023,80.46"
"3/7/2023,77.58"
"3/8/2023,76.66"
"3/9/2023,75.72"
"3/10/2023,76.68"
"3/13/2023,74.8"
"3/14/2023,71.33"
"3/15/2023,67.61"
"3/16/2023,68.35"
"3/17/2023,66.74"
"3/20/2023,67.64"
"3/21/2023,69.33"
"3/22/2023,70.9"
"3/23/2023,69.96"
"3/24/2023,69.26"
"3/27/2023,72.81"
"3/28/2023,73.2"
"3/29/2023,72.97"
"3/30/2023,74.37"
"3/31/2023,75.67"
"4/3/2023,80.42"
"4/4/2023,80.71"
"4/5/2023,80.61"
"4/6/2023,80.7"
"4/10/2023,79.74"
"4/11/2023,81.53"
"4/12/2023,83.26"
"4/13/2023,82.16"
"4/14/2023,82.52"
"4/17/2023,80.83"
"4/18/2023,80.86"
"4/19/2023,79.16"
"4/20/2023,77.29"
"4/21/2023,77.87"
"4/24/2023,78.76"
"4/25/2023,77.07"
"4/26/2023,74.3"
"4/27/2023,74.76"
"4/28/2023,76.78"
"5/1/2023,75.66"
"5/2/2023,71.66"
"5/3/2023,68.6"
"5/4/2023,68.56"
"5/5/2023,71.34"
"5/8/2023,73.16"
"5/9/2023,73.71"
"5/10/2023,72.56"
"5/11/2023,70.87"
"5/12/2023,70.04"
"5/15/2023,71.11"
"5/16/2023,70.86"
"5/17/2023,72.83"
"5/18/2023,71.86"
"5/19/2023,71.55"
"5/22/2023,71.99"
"5/23/2023,72.91"
"5/24/2023,74.34"
"5/25/2023,71.83"
"5/26/2023,72.67"
"5/28/2023,73.22"
"5/29/2023,72.87"
"5/30/2023,69.46"
"5/31/2023,68.09"
"6/1/2023,70.1"
"6/2/2023,71.74"
"6/5/2023,72.15"
"6/6/2023,71.74"
"6/7/2023,72.53"
"6/8/2023,71.29"
"6/9/2023,70.17"
"6/12/2023,67.12"
"6/13/2023,69.42"
"6/14/2023,68.27"
"6/15/2023,70.62"
"6/16/2023,71.78"
"6/18/2023,71.47"
"6/19/2023,71.31"
"6/20/2023,70.5"
"6/21/2023,72.53"
"6/22/2023,69.51"
"6/23/2023,69.16"
"6/26/2023,69.37"
"6/27/2023,67.7"
"6/28/2023,69.56"
"6/29/2023,69.86"
"6/30/2023,70.64"
"7/3/2023,69.79"
"7/4/2023,71.06"
"7/5/2023,71.79"
"7/6/2023,71.8"
"7/7/2023,73.86"
"7/10/2023,72.99"
"7/11/2023,74.83"
"7/12/2023,75.75"
"7/13/2023,76.89"
"7/14/2023,75.42"
"7/17/2023,74.15"
"7/18/2023,75.75"
"7/19/2023,75.35"
"7/20/2023,75.63"
"7/21/2023,77.07"
"7/24/2023,78.74"
"7/25/2023,79.63"
"7/26/2023,78.78"
"7/27/2023,80.09"
"7/28/2023,80.58"
"7/31/2023,81.8"
"8/1/2023,81.37"
"8/2/2023,79.49"
"8/3/2023,81.55"
"8/4/2023,82.82"
"8/7/2023,81.94"
"8/8/2023,82.92"
"8/9/2023,84.4"
"8/10/2023,82.82"
"8/11/2023,83.19"
"8/14/2023,82.51"
"8/15/2023,80.99"
"8/16/2023,79.38"
"8/17/2023,80.39"
"8/18/2023,81.25"
"8/21/2023,80.72"
"8/22/2023,80.35"
"8/23/2023,78.89"
"8/24/2023,79.05"
"8/25/2023,79.83"
"8/28/2023,80.1"
"8/29/2023,81.16"
"8/30/2023,81.63"
"8/31/2023,83.63"
"9/1/2023,85.55"
"9/3/2023,85.85"
"9/4/2023,85.82"
"9/5/2023,86.69"
"9/6/2023,87.54"
"9/7/2023,86.87"
"9/8/2023,87.51"
"9/11/2023,87.29"
"9/12/2023,88.84"
"9/13/2023,88.52"
"9/14/2023,90.16"
"9/15/2023,90.77"
"9/18/2023,91.48"
"9/19/2023,91.2"
"9/20/2023,90.28"
"9/21/2023,89.63"
"9/22/2023,90.03"
"9/25/2023,89.68"
"9/26/2023,90.39"
"9/27/2023,93.68"
"9/28/2023,91.71"
"9/29/2023,90.79"
"10/2/2023,88.82"
"10/3/2023,89.23"
"10/4/2023,84.22"
"10/5/2023,82.31"
"10/6/2023,82.79"
"10/9/2023,86.38"
"10/10/2023,85.97"
"10/11/2023,83.49"
"10/12/2023,82.91"
"10/13/2023,87.69"
"10/16/2023,86.66"
"10/17/2023,86.66"
"10/18/2023,88.32"
"10/19/2023,89.37"
"10/20/2023,88.75"
"10/23/2023,85.49"
"10/24/2023,83.74"
"10/25/2023,85.39"
"10/26/2023,83.21"
"10/27/2023,85.54"
"10/30/2023,82.31"
"10/31/2023,81.02"
"11/1/2023,80.44"
"11/2/2023,82.46"
"11/3/2023,80.51"
"11/6/2023,80.82"
"11/7/2023,77.37"
"11/8/2023,75.33"
"11/9/2023,75.74"
"11/10/2023,77.17"
"11/13/2023,78.26"
"11/14/2023,78.26"
"11/15/2023,76.66"
"11/16/2023,72.9"
"11/17/2023,75.89"
"11/20/2023,77.6"
"11/21/2023,77.77"
"11/22/2023,77.1"
"11/23/2023,76.34"
"11/24/2023,75.54"
"11/27/2023,74.86"
"11/28/2023,76.41"
"11/29/2023,77.86"
"11/30/2023,75.96"
"12/1/2023,74.07"
"12/4/2023,73.04"
"12/5/2023,72.32"
"12/6/2023,69.38"
"12/7/2023,69.34"
"12/8/2023,71.23"
"12/11/2023,71.32"
"12/12/2023,68.61"
"12/13/2023,69.47"
"12/14/2023,71.58"
"12/15/2023,71.43"
"12/18/2023,72.47"
"12/19/2023,73.44"
"12/20/2023,74.22"
"12/21/2023,73.89"
"12/22/2023,73.56"
"12/25/2023,73.79"
"12/26/2023,75.57"
"12/27/2023,74.11"
"12/28/2023,71.77"
"12/29/2023,71.65"
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
","
